wmo,cycle,date,latitude,longitude
1902884,3,2026-07-02T12:06:43Z,48.214,-9.861
2901931,30,2025-10-06T03:34:30Z,67.819,-32.276
2901931,38,2025-10-18T03:25:16Z,67.799,-32.271
2902263,315,2024-03-13T17:36:00Z,16.45,58.703
2902263,316,2024-03-23T17:39:00Z,16.816,58.479
2902270,190,2024-04-30T18:55:28Z,14.962,65.211
2902270,192,2024-05-21T18:38:50Z,15.36,65.025
2902271,179,2024-03-18T22:43:31Z,14.895,63.897
2902271,181,2024-04-07T22:56:03Z,15.038,64.047
2902272,209,2025-01-12T07:25:59Z,17.887,60.971
2902272,218,2025-04-12T05:51:10Z,18.924,59.848
2902273,178,2024-03-09T07:26:42Z,18.025,66.581
2902273,184,2024-05-08T06:14:15Z,17.817,66.307
2902273,190,2024-07-07T10:08:01Z,16.821,65.632
2902295,158,2024-06-19T06:35:51Z,,
2902295,173,2024-11-16T07:17:02Z,,
2902296,224,2026-04-03T20:20:24Z,,
2902299,161,2024-06-29T07:10:23Z,-62.922,89.149
2902306,12,2024-08-27T04:21:19Z,19.267,67.93
2902306,68,2026-03-05T21:29:12Z,15.075,59.011
2902878,197,2025-05-12T00:06:11Z,42.064,145.294
2902882,91,2024-03-19T02:09:20Z,24.426,147.78
2902882,176,2024-12-21T02:20:16Z,20.718,139.975
2902883,89,2024-03-06T17:16:20Z,17.555,141.928
2902884,129,2025-08-05T07:53:30Z,5.27,121.056
2902885,62,2024-12-05T13:16:21Z,35.263,146.159
2902885,96,2025-11-16T18:48:20Z,37.565,160.263
2902886,120,2026-06-09T13:43:27Z,40.749,154.59
2902887,124,2024-04-16T14:03:22Z,28.464,144.628
2902887,141,2024-06-08T13:59:22Z,28.948,144.468
2902911,98,2024-10-22T22:52:00Z,32.928,158.994
2902913,23,2024-12-18T03:13:23Z,16.206,130.917
2902933,89,2025-11-15T12:00:38Z,3.981,138.814
2902933,142,2026-04-23T12:18:39Z,5.063,139.619
2902934,71,2025-10-06T12:11:46Z,3.914,143.588
2902936,45,2026-04-17T08:12:27Z,15.795,64.686
2903439,14,2025-03-02T04:50:03Z,-35.409,-109.602
2903440,28,2025-07-22T19:44:44Z,-38.401,-98.264
2903442,3,2024-11-15T08:06:29Z,-40.986,-79.552
2903442,40,2025-11-23T05:40:12Z,-38.69,-79.238
2903451,42,2024-04-20T07:21:06Z,-0.141,148.291
2903451,43,2024-04-30T07:47:46Z,-0.403,148.791
2903453,34,2024-03-05T16:57:25Z,-52.062,151.867
2903454,34,2024-03-08T01:35:50Z,-65.814,161.568
2903454,36,2024-03-28T15:21:12Z,-66.047,161.564
2903454,43,2024-06-08T12:48:34Z,-66.14,161.531
2903455,62,2025-02-28T12:22:49Z,-51.27,-112.464
2903456,42,2024-08-05T09:17:46Z,-54.685,-126.495
2903457,51,2024-11-02T23:16:22Z,-45.948,-146.333
2903457,90,2025-12-10T01:08:01Z,-43.376,-149.126
2903459,94,2025-12-22T16:28:17Z,-9.762,-90.418
2903461,38,2024-06-03T12:09:37Z,-3.07,-99.861
2903462,47,2024-08-29T06:34:43Z,0.136,-104.628
2903463,105,2026-04-05T08:54:36Z,3.247,-108.343
2903464,59,2025-02-16T17:06:00Z,3.667,81.022
2903465,36,2024-05-25T11:22:21Z,-4.651,86.385
2903466,54,2024-12-16T20:25:48Z,0.708,64.432
2903467,27,2024-03-24T17:15:25Z,-10.662,92.291
2903467,51,2024-11-20T16:18:16Z,-8.427,85.4
2903468,40,2024-08-11T11:29:21Z,-18.206,98.678
2903469,22,2024-05-01T05:59:14Z,-39.049,-4.505
2903469,64,2025-07-06T12:49:34Z,-39.852,-4.58
2903472,46,2024-12-28T21:13:52Z,-41.444,39.011
2903473,48,2025-01-26T10:30:37Z,-46.365,4.452
2903473,63,2025-06-29T08:49:42Z,-47.058,18.269
2903762,56,2025-06-26T12:14:13Z,46.469,161.167
2903762,88,2025-12-03T13:22:49Z,44.968,162.809
2903763,2,2024-10-12T13:55:03Z,46.964,169.978
2903763,36,2025-03-15T11:01:17Z,47.397,170.828
2903783,66,2024-09-08T21:45:51Z,-25.923,-165.194
2903787,97,2025-03-24T06:25:22Z,-50.052,96.571
2903787,141,2026-04-24T03:25:22Z,-51.748,139.314
2903794,134,2025-02-02T11:26:36Z,68.955,-1.455
2903802,27,2025-09-15T07:00:49Z,43.229,7.649
2903827,1,2026-07-01T09:00:22Z,8.991,-119.979
2903827,2,2026-07-02T02:20:38Z,8.988,-119.963
2903827,4,2026-07-03T17:10:25Z,8.965,-119.922
2903828,38,2026-05-30T19:29:19Z,-4.169,159.622
2903829,14,2025-06-23T08:13:35Z,9.994,86.482
2903829,30,2025-12-02T20:54:37Z,9.21,87.38
2903830,1,2026-07-04T05:43:06Z,2.998,-120.535
2903830,2,2026-07-04T21:28:11Z,2.957,-120.622
2903830,3,2026-07-05T13:19:52Z,2.936,-120.724
2903832,70,2026-03-30T09:12:45Z,-28.364,-90.909
2903834,1,2026-01-10T00:02:16Z,-32.751,85.001
2903838,7,2026-01-24T17:05:44Z,-17.177,61.128
2903839,10,2026-02-27T03:02:22Z,-23.691,-37.799
2903839,13,2026-03-29T09:50:16Z,-23.935,-38.632
2903842,12,2026-06-19T22:52:00Z,9.175,-166.822
2903854,106,2026-07-05T07:42:24Z,-27.999,106.879
2903856,68,2025-07-22T20:13:16Z,1.294,171.914
2903858,70,2025-11-20T03:42:00Z,-16.179,-85.313
2903860,37,2024-11-07T02:40:36Z,27.595,178.563
2903860,53,2025-04-21T03:45:48Z,26.728,179.578
2903860,57,2025-06-01T10:57:57Z,27.112,-179.722
2903863,57,2024-05-14T10:40:00Z,19.062,-157.285
2903865,18,2024-09-10T15:28:34Z,-49.342,97.459
2903866,2,2024-04-24T22:37:43Z,-53.086,-179.274
2903866,16,2024-09-15T05:41:46Z,-47.806,-166.274
2903866,32,2025-02-26T05:59:28Z,-45.463,-156.485
2903867,6,2024-03-17T22:29:14Z,-64.43,143.848
2903867,17,2024-07-07T18:44:39Z,-65.252,146.631
2903867,70,2025-12-25T16:00:27Z,,
2903869,59,2025-04-15T21:09:16Z,-29.442,46.716
2903872,6,2024-03-30T22:24:22Z,-57.696,114.511
2903872,10,2024-05-11T00:36:36Z,-58.885,113.644
2903874,14,2024-03-20T11:45:47Z,-67.174,6.752
2903885,34,2025-09-11T02:14:17Z,-9.792,86.576
2903885,35,2025-09-21T06:29:47Z,-9.7,85.975
2903886,103,2025-10-18T15:52:54Z,32.676,-120.773
2903887,13,2024-07-24T17:40:11Z,14.95,158.985
2903887,43,2025-02-05T06:46:48Z,17.298,156.543
2903902,24,2024-06-02T12:21:30Z,55.337,15.613
2903904,6,2025-05-15T12:26:05Z,9.554,-88.952
2903904,29,2025-12-24T03:32:40Z,9.784,-91.547
2903913,11,2026-03-02T17:57:10Z,-17.445,73.091
2903915,14,2025-06-06T02:52:37Z,-3.025,92.503
2903918,32,2026-04-09T01:11:02Z,-3.043,171.136
2903919,32,2026-03-18T02:01:16Z,10.327,152.062
2903919,36,2026-04-27T04:51:44Z,10.556,150.996
2903920,7,2025-07-08T04:38:54Z,3.705,152.009
2903920,36,2026-04-27T03:00:39Z,3.411,141.465
2903922,9,2026-01-30T06:28:29Z,-18.506,84.447
2903924,3,2026-02-07T17:29:24Z,-36.164,-39.328
2903926,10,2026-02-28T05:32:00Z,-45.929,-50.213
2903936,9,2025-03-19T09:31:19Z,-43.144,-117.459
2903938,3,2025-02-22T01:03:11Z,46.707,-128.491
2903940,6,2025-05-11T07:25:52Z,-15.466,-9.918
2903950,23,2025-08-04T13:29:00Z,-15.793,69.185
2903951,22,2025-07-30T13:30:00Z,-5.115,84.503
2903964,3,2025-03-12T20:38:40Z,-65.865,-36.496
2903964,4,2025-03-23T04:29:05Z,-65.98,-36.561
2903965,1,2025-07-11T19:20:55Z,48.096,163.25
2903967,9,2025-11-13T01:06:42Z,-0.187,154.321
2903968,20,2026-04-24T23:41:26Z,17.582,-154.887
2903969,5,2026-01-09T01:58:49Z,-38.806,160.398
2903970,2,2025-12-22T13:38:19Z,-39.367,120.998
2903971,19,2026-06-23T23:33:49Z,-36.141,109.258
2903986,10,2025-07-24T23:25:06Z,-30.261,-8.355
2903986,22,2025-11-22T16:11:47Z,-30.759,-8.889
2904011,10,2025-06-23T08:59:35Z,26.704,-89.776
2904013,13,2026-01-12T11:22:47Z,2.24,86.523
2904013,20,2026-03-24T07:23:12Z,3.144,86.835
2904024,20,2025-09-09T22:26:18Z,41.154,10.831
2904029,10,2026-03-04T18:33:41Z,9.67,-90.564
2904077,13,2026-06-21T22:02:50Z,-60.983,149.769
2904077,14,2026-07-01T21:43:01Z,-60.58,149.877
2904078,9,2026-07-02T07:53:11Z,-30.796,-26.195
2904081,3,2026-04-29T07:10:28Z,-18.903,-24.531
2904081,5,2026-05-19T11:38:49Z,-19.005,-24.155
2904126,3,2026-07-05T03:58:13Z,38.802,-17.608
3901578,118,2025-02-22T00:25:00Z,10.039,-20.161
3901578,127,2025-05-23T18:23:00Z,9.145,-19.386
3901582,16,2024-10-18T01:30:48Z,49.319,-24.998
3901582,19,2024-11-01T13:38:28Z,49.447,-24.94
3901583,56,2025-04-21T01:36:45Z,48.348,-25.682
3901584,13,2024-09-13T02:44:44Z,43.195,-45.784
3901584,15,2024-09-23T02:36:45Z,42.466,-43.904
3901586,20,2024-12-06T01:30:44Z,61.5,-17.671
3902125,270,2024-09-22T08:25:00Z,-19.478,-29.604
3902259,10,2024-10-05T00:35:51Z,56.504,-9.985
3902259,24,2025-02-22T08:37:52Z,57.329,-11.507
3902260,7,2024-09-17T06:44:11Z,57.648,-26.665
3902260,9,2024-10-06T21:16:43Z,57.6,-25.544
3902261,22,2025-02-22T08:48:08Z,58.729,-26.602
3902261,35,2025-07-05T08:14:42Z,58.88,-19.613
3902303,3,2026-05-31T13:43:41Z,9.489,-149.981
3902331,13,2024-11-02T21:05:02Z,53.047,-44.599
